2023-03-23 21:07:40,834 INFO    Thread-34 :6704 [wandb_setup.py:_flush():76] Configure stats pid to 6704
2023-03-23 21:07:40,835 INFO    Thread-34 :6704 [wandb_setup.py:_flush():76] Loading settings from C:\Users\Samsung\.config\wandb\settings
2023-03-23 21:07:40,835 INFO    Thread-34 :6704 [wandb_setup.py:_flush():76] Loading settings from c:\Users\Samsung\Desktop\Pedro\UFRN\Portfolio\TEDA Regressor\wandb\settings
2023-03-23 21:07:40,835 INFO    Thread-34 :6704 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'project': 'TEDARegressor', 'entity': 'embarca-ai', 'root_dir': 'c:\\Users\\Samsung\\Desktop\\Pedro\\UFRN\\Portfolio\\TEDA Regressor', 'run_id': 'ik2y99i5', 'sweep_param_path': 'c:\\Users\\Samsung\\Desktop\\Pedro\\UFRN\\Portfolio\\TEDA Regressor\\wandb\\sweep-ea9h2d64\\config-ik2y99i5.yaml', 'sweep_id': 'ea9h2d64'}
2023-03-23 21:07:40,835 INFO    Thread-34 :6704 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-03-23 21:07:40,835 INFO    Thread-34 :6704 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2023-03-23 21:07:40,835 INFO    Thread-34 :6704 [wandb_init.py:_log_setup():506] Logging user logs to c:\Users\Samsung\Desktop\Pedro\UFRN\Portfolio\TEDA Regressor\wandb\run-20230323_210740-ik2y99i5\logs\debug.log
2023-03-23 21:07:40,836 INFO    Thread-34 :6704 [wandb_init.py:_log_setup():507] Logging internal logs to c:\Users\Samsung\Desktop\Pedro\UFRN\Portfolio\TEDA Regressor\wandb\run-20230323_210740-ik2y99i5\logs\debug-internal.log
2023-03-23 21:07:40,836 INFO    Thread-34 :6704 [wandb_init.py:init():546] calling init triggers
2023-03-23 21:07:40,836 INFO    Thread-34 :6704 [wandb_init.py:init():552] wandb.init called with sweep_config: {'Factor': 1e-06, 'Window': 4}
config: {}
2023-03-23 21:07:40,836 INFO    Thread-34 :6704 [wandb_init.py:init():602] starting backend
2023-03-23 21:07:40,836 INFO    Thread-34 :6704 [wandb_init.py:init():606] setting up manager
2023-03-23 21:07:40,846 INFO    Thread-34 :6704 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn, using: spawn
2023-03-23 21:07:40,853 INFO    Thread-34 :6704 [wandb_init.py:init():613] backend started and connected
2023-03-23 21:07:40,886 INFO    Thread-34 :6704 [wandb_run.py:_config_callback():1251] config_cb None None {'Factor': 1e-06, 'Window': 4}
2023-03-23 21:07:40,887 INFO    Thread-34 :6704 [wandb_run.py:_label_probe_notebook():1204] probe notebook
2023-03-23 21:07:40,887 INFO    Thread-34 :6704 [wandb_run.py:_label_probe_notebook():1214] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2023-03-23 21:07:40,888 INFO    Thread-34 :6704 [wandb_init.py:init():701] updated telemetry
2023-03-23 21:07:40,977 INFO    Thread-34 :6704 [wandb_init.py:init():741] communicating run to backend with 60.0 second timeout
2023-03-23 21:07:41,708 INFO    Thread-34 :6704 [wandb_run.py:_on_init():2133] communicating current version
2023-03-23 21:07:41,959 INFO    Thread-34 :6704 [wandb_run.py:_on_init():2142] got version response 
2023-03-23 21:07:41,959 INFO    Thread-34 :6704 [wandb_init.py:init():789] starting run threads in backend
2023-03-23 21:08:05,398 INFO    Thread-34 :6704 [wandb_run.py:_console_start():2114] atexit reg
2023-03-23 21:08:05,398 INFO    Thread-34 :6704 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-03-23 21:08:05,398 INFO    Thread-34 :6704 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-03-23 21:08:05,398 INFO    Thread-34 :6704 [wandb_run.py:_redirect():2059] Redirects installed.
2023-03-23 21:08:05,399 INFO    Thread-34 :6704 [wandb_init.py:init():831] run started, returning control to user process
2023-03-23 21:08:11,302 INFO    Thread-34 :6704 [wandb_run.py:_finish():1854] finishing run embarca-ai/TEDARegressor/ik2y99i5
2023-03-23 21:08:11,303 INFO    Thread-34 :6704 [wandb_run.py:_atexit_cleanup():2083] got exitcode: 0
2023-03-23 21:08:11,303 INFO    Thread-34 :6704 [wandb_run.py:_restore():2066] restore
2023-03-23 21:08:11,303 INFO    Thread-34 :6704 [wandb_run.py:_restore():2072] restore done
2023-03-23 21:08:15,340 INFO    Thread-34 :6704 [wandb_run.py:_footer_history_summary_info():3422] rendering history
2023-03-23 21:08:15,340 INFO    Thread-34 :6704 [wandb_run.py:_footer_history_summary_info():3454] rendering summary
2023-03-23 21:08:15,353 INFO    Thread-34 :6704 [wandb_run.py:_footer_sync_info():3380] logging synced files
