2023-03-26 14:20:13,441 INFO    Thread-224:15200 [wandb_setup.py:_flush():76] Configure stats pid to 15200
2023-03-26 14:20:13,442 INFO    Thread-224:15200 [wandb_setup.py:_flush():76] Loading settings from C:\Users\Samsung\.config\wandb\settings
2023-03-26 14:20:13,442 INFO    Thread-224:15200 [wandb_setup.py:_flush():76] Loading settings from c:\Users\Samsung\Desktop\Pedro\UFRN\Portfolio\TEDA Regressor\wandb\settings
2023-03-26 14:20:13,442 INFO    Thread-224:15200 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'project': 'TEDARegressor', 'entity': 'embarca-ai', 'root_dir': 'c:\\Users\\Samsung\\Desktop\\Pedro\\UFRN\\Portfolio\\TEDA Regressor', 'run_id': '72x88x1e', 'sweep_param_path': 'c:\\Users\\Samsung\\Desktop\\Pedro\\UFRN\\Portfolio\\TEDA Regressor\\wandb\\sweep-cxs7pwtg\\config-72x88x1e.yaml', 'sweep_id': 'cxs7pwtg'}
2023-03-26 14:20:13,442 INFO    Thread-224:15200 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-03-26 14:20:13,442 INFO    Thread-224:15200 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2023-03-26 14:20:13,442 INFO    Thread-224:15200 [wandb_init.py:_log_setup():506] Logging user logs to c:\Users\Samsung\Desktop\Pedro\UFRN\Portfolio\TEDA Regressor\wandb\run-20230326_142013-72x88x1e\logs\debug.log
2023-03-26 14:20:13,442 INFO    Thread-224:15200 [wandb_init.py:_log_setup():507] Logging internal logs to c:\Users\Samsung\Desktop\Pedro\UFRN\Portfolio\TEDA Regressor\wandb\run-20230326_142013-72x88x1e\logs\debug-internal.log
2023-03-26 14:20:13,443 INFO    Thread-224:15200 [wandb_init.py:init():546] calling init triggers
2023-03-26 14:20:13,443 INFO    Thread-224:15200 [wandb_init.py:init():552] wandb.init called with sweep_config: {'Factor': 1e-06, 'Init': 'tanh1', 'Threshold': 1.75, 'Window': 6}
config: {}
2023-03-26 14:20:13,443 INFO    Thread-224:15200 [wandb_init.py:init():602] starting backend
2023-03-26 14:20:13,443 INFO    Thread-224:15200 [wandb_init.py:init():606] setting up manager
2023-03-26 14:20:13,455 INFO    Thread-224:15200 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn, using: spawn
2023-03-26 14:20:13,461 INFO    Thread-224:15200 [wandb_init.py:init():613] backend started and connected
2023-03-26 14:20:13,488 INFO    Thread-224:15200 [wandb_run.py:_config_callback():1251] config_cb None None {'Factor': 1e-06, 'Init': 'tanh1', 'Threshold': 1.75, 'Window': 6}
2023-03-26 14:20:13,489 INFO    Thread-224:15200 [wandb_run.py:_label_probe_notebook():1204] probe notebook
2023-03-26 14:20:13,489 INFO    Thread-224:15200 [wandb_run.py:_label_probe_notebook():1214] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2023-03-26 14:20:13,489 INFO    Thread-224:15200 [wandb_init.py:init():701] updated telemetry
2023-03-26 14:20:13,559 INFO    Thread-224:15200 [wandb_init.py:init():741] communicating run to backend with 60.0 second timeout
2023-03-26 14:20:14,267 INFO    Thread-224:15200 [wandb_run.py:_on_init():2133] communicating current version
2023-03-26 14:20:14,377 INFO    Thread-224:15200 [wandb_run.py:_on_init():2142] got version response 
2023-03-26 14:20:14,377 INFO    Thread-224:15200 [wandb_init.py:init():789] starting run threads in backend
2023-03-26 14:20:38,197 INFO    Thread-224:15200 [wandb_run.py:_console_start():2114] atexit reg
2023-03-26 14:20:38,198 INFO    Thread-224:15200 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-03-26 14:20:38,198 INFO    Thread-224:15200 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-03-26 14:20:38,198 INFO    Thread-224:15200 [wandb_run.py:_redirect():2059] Redirects installed.
2023-03-26 14:20:38,199 INFO    Thread-224:15200 [wandb_init.py:init():831] run started, returning control to user process
2023-03-26 14:20:44,468 INFO    Thread-224:15200 [wandb_run.py:_finish():1854] finishing run embarca-ai/TEDARegressor/72x88x1e
2023-03-26 14:20:44,468 INFO    Thread-224:15200 [wandb_run.py:_atexit_cleanup():2083] got exitcode: 0
2023-03-26 14:20:44,468 INFO    Thread-224:15200 [wandb_run.py:_restore():2066] restore
2023-03-26 14:20:44,471 INFO    Thread-224:15200 [wandb_run.py:_restore():2072] restore done
2023-03-26 14:20:48,784 INFO    Thread-224:15200 [wandb_run.py:_footer_history_summary_info():3422] rendering history
2023-03-26 14:20:48,784 INFO    Thread-224:15200 [wandb_run.py:_footer_history_summary_info():3454] rendering summary
2023-03-26 14:20:48,796 INFO    Thread-224:15200 [wandb_run.py:_footer_sync_info():3380] logging synced files
